respID,Gender,Ethnicity,Q3TeachBioinfor,Q5MoreCourses,Q6BioinfoCourses,Q7FacedBarriers,Q24CURE_SURE,Q31TeachUG,QID1,I lack expertise in bioinformatics,I lack experience in teaching bioinformatics....42,I lack time to restructure course(s),I lack the autonomy to add content to my course(s)....44,I lack space in my course(s) to add content....45,I lack curricular materials....46,I lack appropriate technical resources (internet access/software/hardware/IT support)....47,My student population lacks access to appropriate technical resources (internet access/software/hardware/IT support)....48,My student population lacks prerequisite skills.,My student population lacks interest in bioinformatics....50,I lack expertise in bioinformatics.,I lack experience in teaching bioinformatics....54,I lack time to restructure course(s).,I lack the autonomy to add content to my course(s)....56,I lack space in my course(s) to add content....57,I lack curricular materials....58,I lack appropriate technical resources (internet access/software/hardware/IT support)....59,My student population lacks access to appropriate technical resources (internet access/software/hardware/IT support)....60,My student population lacks prerequisite skills,My student population lacks interest in bioinformatics....62,BASIC2018_bins_text.Current,BASIC2018_bins.Current,BASIC2018_bins_text.TerminalDegree,URM,MSI.Current,HBCU.Current,HSI.Current,Q14 In which year did you earn your highest academic degree?,Q12 Which of the following best describes your level of bioinformatics training? Select ALL that apply.,MSI_text.Current,HSI_text.Current,HBCU_text.Current,SIZESET2018_bins_text.Current,CONTROL_text.Current,Q33 Which of the following represents your highest academic degree?
R618,M,Hispanic,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Maybe,NA,No,"yes, part of a CURE",yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R620,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Maybe,NA,Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,Moderate challenge,Severe challenge,NA,Severe challenge,Severe challenge,Moderate challenge,Moderate challenge,Moderate challenge,Moderate challenge,Associate's Colleges,1,Master's Colleges & Universities,non-URM,0,2,0,1990-1999,no training/experience,No,No,No,Small or Very Small,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R621,U,South Asian,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,Minor challenge,NA,NA,Severe challenge,Severe challenge,Severe challenge,Severe challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,online course(s) (i.e., Coursera)",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R626,F,Western European,I do not include bioinformatics in my teaching and do not plan to do so,Yes,a bioinformatics-specific course,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,Severe challenge,Minor challenge,NA,NA,NA,Moderate challenge,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,no training/experience,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R628,F,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,Moderate challenge,NA,NA,Minor challenge,Minor challenge,Severe challenge,Moderate challenge,NA,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,6,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,self-taught,No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R629,M,African American,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,Moderate challenge,Moderate challenge,NA,Moderate challenge,Moderate challenge,Moderate challenge,Moderate challenge,NA,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,6,Doctoral/Professional Universities,URM,1,2,0,2000-2009,workshops or bootcamp,Yes,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R630,U,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Minor challenge,Minor challenge,Moderate challenge,NA,NA,Minor challenge,Moderate challenge,Severe challenge,Moderate challenge,NA,Master's Colleges & Universities,4,Special Focus Four-Year,non-URM,0,2,0,2010-2019,workshops or bootcamp,No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R632,M,Western European,I do not include bioinformatics in my teaching and do not plan to do so,No,a bioinformatics-specific course,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,undergraduate course(s),No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R633,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,1980-1989,self-taught,No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R634,M,Mediterranean,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,"a bioinformatics-specific course,a bioinformatics minor",Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,Severe challenge,Minor challenge,Moderate challenge,NA,NA,NA,NA,NA,Moderate challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,self-taught,No,No,No,Large or Very Large,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R635,F,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",No,"a bioinformatics-specific course,a bioinformatics minor,a bioinformatics major",Yes,NA,yes,I AGREE to participate.,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,NA,Moderate challenge,Severe challenge,NA,Moderate challenge,NA,NA,NA,Severe challenge,Moderate challenge,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera),post-graduate certificate",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R637,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,Severe challenge,Moderate challenge,Moderate challenge,NA,Severe challenge,Moderate challenge,NA,NA,Moderate challenge,NA,Baccalaureate Colleges,5,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,self-taught,No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R641,F,African American,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Yes,a bioinformatics-specific course,Yes,"yes, part of a CURE,neither",yes,I AGREE to participate.,I agree with this statement,NA,I agree with this statement,NA,I agree with this statement,NA,NA,NA,I agree with this statement,NA,Moderate challenge,NA,NA,NA,Moderate challenge,NA,NA,NA,Severe challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,0,2,0,1990-1999,"self-taught,workshops or bootcamp",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R642,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Yes,NA,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,NA,NA,NA,Moderate challenge,NA,NA,NA,Moderate challenge,NA,Associate's Colleges,1,Special Focus Four-Year,non-URM,1,2,1,2000-2009,"workshops or bootcamp,graduate course(s)",Yes,Yes,No,Medium,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R643,M,Mediterranean,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,"yes, part of a CURE,yes, part of a SURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,Moderate challenge,Severe challenge,NA,NA,Severe challenge,Moderate challenge,Severe challenge,Severe challenge,Moderate challenge,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp,undergraduate course(s),graduate course(s),graduate degree",No,No,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R644,M,African American,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,Moderate challenge,Severe challenge,NA,Minor challenge,Severe challenge,Moderate challenge,NA,Severe challenge,Severe challenge,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,0,2,0,2010-2019,"self-taught,workshops or bootcamp",No,No,No,Large or Very Large,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R645,M,Mediterranean,I do not include bioinformatics in my teaching and do not plan to do so,Yes,"a bioinformatics-specific course,a bioinformatics minor",Yes,NA,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,NA,Severe challenge,Severe challenge,Severe challenge,Moderate challenge,Minor challenge,NA,Moderate challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,undergraduate degree,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R646,F,Hispanic,I teach a dedicated upper-level (3rd/4th) bioinformatics course(s),Yes,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,NA,NA,NA,NA,Minor challenge,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,0,2,0,2010-2019,self-taught,No,No,No,Large or Very Large,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R648,F,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,a bioinformatics major,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,Moderate challenge,Moderate challenge,Severe challenge,NA,Moderate challenge,Moderate challenge,NA,NA,NA,Moderate challenge,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,no training/experience,No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R650,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year),I teach a dedicated upper-level (3rd/4th) bioinformatics course(s)",Yes,a bioinformatics-specific course,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,NA,NA,NA,NA,Minor challenge,NA,NA,Minor challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,"self-taught,workshops or bootcamp,graduate course(s)",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R654,M,Western European,I do not include bioinformatics in my teaching and do not plan to do so,No,a bioinformatics-specific course,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,no training/experience,No,No,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R656,M,Eastern European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,NA,Moderate challenge,Severe challenge,Severe challenge,Severe challenge,Severe challenge,Severe challenge,Severe challenge,Severe challenge,Severe challenge,Doctoral/Professional Universities,3,Special Focus Four-Year,non-URM,1,2,1,1980-1989,"self-taught,graduate course(s),graduate degree",Yes,Yes,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R658,M,Western European,I teach a dedicated lower-level (1st/2nd) bioinformatics course(s),Yes,a bioinformatics-specific course,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,NA,I agree with this statement,NA,NA,NA,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,NA,Severe challenge,NA,NA,NA,Moderate challenge,Moderate challenge,Moderate challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,online course(s) (i.e., Coursera)",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R659,M,Mediterranean,I teach a dedicated lower-level (1st/2nd) bioinformatics course(s),Maybe,"a bioinformatics-specific course,a bioinformatics major",No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,graduate degree,No,No,No,Large or Very Large,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R660,F,African American,I teach a dedicated lower-level (1st/2nd) bioinformatics course(s),Yes,a bioinformatics-specific course,No,"yes, part of a CURE",yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baccalaureate Colleges,5,Doctoral/Professional Universities,URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp",No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R662,M,Western European,I do not include bioinformatics in my teaching and do not plan to do so,Maybe,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,no training/experience,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R663,U,Mediterranean,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year),I teach a dedicated upper-level (3rd/4th) bioinformatics course(s)",No,a bioinformatics-specific course,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,NA,Moderate challenge,NA,NA,NA,Severe challenge,Severe challenge,Severe challenge,NA,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,"self-taught,workshops or bootcamp",No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R665,U,East Asian,NA,NA,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,NA,non-URM,0,2,0,NA,NA,No,No,No,Large or Very Large,Private not-for-profit,NA
R671,U,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,Severe challenge,Severe challenge,NA,Moderate challenge,Moderate challenge,NA,NA,NA,Baccalaureate Colleges,5,NA,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera)",No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R672,F,Hispanic,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,Yes,"yes, part of a CURE,yes, part of a SURE",yes,I AGREE to participate.,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,Moderate challenge,Severe challenge,NA,NA,NA,Moderate challenge,Severe challenge,Severe challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,0,2,0,2010-2019,"self-taught,workshops or bootcamp,post-graduate certificate",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R673,U,African American,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,Doctoral/Professional Universities,URM,0,2,0,2000-2009,graduate course(s),No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R676,M,Jewish,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,Severe challenge,Severe challenge,Severe challenge,NA,NA,Severe challenge,Severe challenge,Severe challenge,Severe challenge,Severe challenge,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,6,Doctoral/Professional Universities,non-URM,0,2,0,Before 1980,no training/experience,No,No,No,Small or Very Small,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R678,M,Western European,I do not include bioinformatics in my teaching and do not plan to do so,Yes,a bioinformatics major,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,Severe challenge,Moderate challenge,Severe challenge,NA,Moderate challenge,NA,Moderate challenge,Severe challenge,Severe challenge,Moderate challenge,Doctoral/Professional Universities,3,NA,non-URM,0,2,0,2010-2019,workshops or bootcamp,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R679,M,Western European,I teach a dedicated upper-level (3rd/4th) bioinformatics course(s),Maybe,"a bioinformatics-specific course,a bioinformatics minor",No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,graduate degree,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R686,M,Scandinavian,I teach a dedicated lower-level (1st/2nd) bioinformatics course(s),Maybe,NA,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,NA,Moderate challenge,Moderate challenge,NA,NA,Minor challenge,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera)",No,No,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R687,F,African American,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",NA,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,NA,URM,0,2,0,NA,NA,No,No,No,Large or Very Large,Public,NA
R688,F,South Asian,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Maybe,NA,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,undergraduate course(s),No,No,No,Small or Very Small,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R689,F,African American,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,"a bioinformatics-specific course,a bioinformatics major",Yes,"yes, part of a CURE",yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate challenge,Doctoral/Professional Universities,3,NA,URM,0,2,0,2010-2019,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera),graduate course(s)",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R690,U,Hispanic,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,"yes, part of a CURE,neither",yes,I AGREE to participate.,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,NA,Minor challenge,Minor challenge,Minor challenge,NA,Severe challenge,Severe challenge,Severe challenge,Moderate challenge,Severe challenge,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,1,2,0,2000-2009,"online course(s) (i.e., Coursera),graduate course(s)",Yes,No,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R692,M,Hispanic,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Maybe,"a bioinformatics-specific course,a bioinformatics major",No,"yes, part of a CURE,yes, part of a SURE",yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's Colleges & Universities,4,Doctoral/Professional Universities,URM,1,2,0,1990-1999,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera)",Yes,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R693,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,No,"yes, part of a CURE",yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,1,2,0,Before 1980,"self-taught,undergraduate course(s),graduate course(s)",Yes,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R694,F,Western European,NA,NA,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,NA,non-URM,0,2,0,NA,NA,No,No,No,Large or Very Large,Public,NA
